id,rating,proximity,latitude,longitude
129680,4.0,1.4886765,37.60424,-122.37592
112389,3.0,1.4940606,37.60411,-122.37784
153452,3.0,1.6843556,37.6098,-122.40109
208851,3.0,1.7023174,37.60689,-122.39784
105573,4.0,1.7127371,37.60169,-122.37021
199297,3.0,1.8206826,37.60138,-122.3905
193272,3.0,1.8802145,37.6435,-122.40383
271136,3.0,2.0076246,37.62576,-122.41449
222947,3.0,2.0190103,37.59799,-122.36624
133855,3.0,2.102554,37.64682,-122.40551
196452,3.0,2.1284516,37.64731,-122.40557
138196,3.0,2.288146,37.63011,-122.41925
112053,4.0,2.3264282,37.59382,-122.36427
125677,3.5,2.4520426,37.65578,-122.40165
106859,3.0,2.4587214,37.59224,-122.36265
151607,3.0,2.4931285,37.65793,-122.39838
164144,3.0,2.519386,37.65867,-122.39756
124148,3.0,2.5403092,37.64146,-122.41977
134362,3.5,2.5643015,37.66244,-122.38468
133100,3.5,2.583942,37.59107,-122.36011
123064,3.5,2.8227115,37.59113,-122.35041
125679,3.5,2.9146116,37.59119,-122.34726
109456,3.0,2.9181278,37.59003,-122.34934
169156,3.0,2.9348679,37.66599,-122.39491
171369,3.0,2.9665408,37.66664,-122.39426
148719,4.0,3.1334236,37.58948,-122.34343
205702,3.0,3.2297103,37.67175,-122.38815
176992,3.5,3.3368895,37.67344,-122.38727
130057,3.0,4.4812856,37.57855,-122.32167
141249,4.0,6.384399,37.55677,-122.30025
186304,3.0,6.5923944,37.60956,-122.49649
326023,3.0,6.757026,37.56367,-122.28248
108519,3.5,7.0386405,37.56292,-122.27665
112843,3.0,7.137448,37.55513,-122.28271
138177,3.0,7.2833242,37.56021,-122.27366
122037,3.0,8.768093,37.53172,-122.27035
112080,4.0,9.53825,37.52271,-122.26198
127724,3.5,10.026749,37.50235,-122.47407
219106,3.0,10.182254,37.49377,-122.46045
268943,4.0,10.242222,37.50356,-122.4836
323897,3.5,10.296142,37.52165,-122.51224
325281,3.5,10.5549345,37.77628,-122.4105
480879,3.5,10.66145,37.77747,-122.41317
107230,3.5,10.714517,37.77814,-122.41392
164126,3.0,10.715296,37.77867,-122.41022
164131,3.0,10.724733,37.77879,-122.41037
124524,3.5,10.742411,37.77835,-122.41525
123452,3.5,10.861314,37.77894,-122.42226
264782,4.5,10.877781,37.78171,-122.4047
123893,3.0,10.978289,37.78296,-122.40669
479979,3.5,10.986881,37.78272,-122.40972
195926,4.0,11.0090475,37.78336,-122.40712
145299,4.0,11.085509,37.78515,-122.40056
123447,4.0,11.103953,37.78458,-122.40854
120243,4.0,11.107796,37.78506,-122.40479
195439,3.0,11.111457,37.78582,-122.39697
164149,4.0,11.135397,37.7854,-122.40539
235570,5.0,11.147666,37.78596,-122.40158
202424,3.0,11.161169,37.7854,-122.40868
117069,3.5,11.163514,37.78548,-122.4083
244729,3.0,11.165614,37.78435,-122.41681
115727,3.5,11.184687,37.78584,-122.40789
116987,4.0,11.187647,37.78568,-122.40958
123355,3.0,11.204512,37.78571,-122.41128
114219,4.0,11.212705,37.78681,-122.40261
195370,5.0,11.214634,37.78663,-122.40472
112932,4.0,11.225594,37.78616,-122.41018
164153,4.0,11.237313,37.78618,-122.41137
129366,3.5,11.257225,37.78687,-122.40816
114653,3.0,11.264903,37.78678,-122.40981
115065,4.0,11.290389,37.78695,-122.41143
114613,4.0,11.291182,37.78721,-122.40947
124092,4.0,11.293476,37.78685,-122.41252
119457,4.0,11.294987,37.78698,-122.41171
122491,4.0,11.295241,37.78703,-122.41136
114335,3.5,11.295781,37.78733,-122.40902
116555,3.5,11.296482,37.78716,-122.41049
115993,3.0,11.296497,37.78685,-122.41285
105310,4.0,11.316638,37.78773,-122.40822
141179,4.0,11.336461,37.78868,-122.40192
198893,3.5,11.355303,37.78806,-122.41019
127103,4.0,11.355952,37.78806,-122.41026
118494,4.0,11.358393,37.78803,-122.41079
129842,3.0,11.359204,37.78785,-122.41226
115728,3.0,11.360501,37.78824,-122.40935
123414,3.5,11.360853,37.78828,-122.40904
164133,3.0,11.386737,37.78872,-122.40854
129640,3.5,11.395637,37.78567,-122.42868
106066,4.0,11.399922,37.78911,-122.40682
115134,4.5,11.399981,37.7891,-122.4069
114822,4.0,11.400018,37.78891,-122.40857
164130,3.0,11.419049,37.78868,-122.41261
140759,3.5,11.422306,37.78911,-122.40964
122674,3.0,11.422629,37.78919,-122.40901
148828,4.0,11.423051,37.78928,-122.40829
464433,3.5,11.4234,37.78873,-122.41272
226799,3.0,11.42675,37.7883,-122.41614
129368,3.5,11.426923,37.78983,-122.4037
