id,rating,proximity,latitude,longitude,lowprice,highprice
115753,3.5,0.6694268,37.37079,-121.9223,6,8
125301,3.0,0.67081165,37.36624,-121.91778,5,7
490726,3.0,0.87442374,37.36661,-121.91402,5,7
106055,3.0,0.8926394,37.36974,-121.91549,6,7
113325,3.0,1.1158311,37.3611,-121.909,7,10
124150,3.0,1.1529989,37.37227,-121.91191,7,10
106765,3.0,1.1783179,37.36516,-121.90795,6,9
176035,3.0,1.1997645,37.37855,-121.93839,8,10
118036,3.0,1.2892488,37.36218,-121.90574,7,9
132889,3.0,1.3139008,37.3438,-121.9283,7,9
225300,3.0,1.4382477,37.35168,-121.95133,10,13
111537,3.0,2.3286598,37.38365,-121.96252,10,13
218710,3.0,2.3636434,37.39457,-121.94516,11,14
175431,3.0,2.489924,37.33178,-121.90614,10,13
475552,3.0,2.5410082,37.39582,-121.94957,11,15
153064,4.0,2.732536,37.33419,-121.89487,9,12
175425,3.0,2.7601674,37.32328,-121.9365,10,14
475958,3.5,2.7917302,37.40041,-121.94778,11,15
106363,3.5,2.8218455,37.4014,-121.91242,11,14
200059,3.5,2.923471,37.4024,-121.91045,11,14
511195,3.5,2.9869528,37.33518,-121.88738,10,13
116825,4.5,3.0118573,37.33273,-121.88952,10,14
107243,3.5,3.0592053,37.33007,-121.89171,10,13
220714,3.0,3.0656776,37.33283,-121.88806,10,14
205378,4.0,3.0670726,37.32098,-121.9479,10,14
114522,3.5,3.1040685,37.38336,-121.97946,12,16
207640,3.5,3.1511288,37.32893,-121.8908,11,14
130075,4.0,3.1532514,37.33087,-121.8882,10,14
221094,4.0,3.1824837,37.33046,-121.88796,10,14
106373,3.5,3.1898649,37.39216,-121.97404,11,15
111871,3.0,3.3512743,37.39201,-121.97793,12,16
128201,3.5,3.396028,37.38696,-121.98306,12,17
112412,3.0,3.6782138,37.38813,-121.98812,13,18
193090,3.5,3.8244011,37.40259,-121.97762,13,17
362378,3.0,3.8856292,37.41572,-121.95313,12,15
164170,4.0,3.9091573,37.40428,-121.97762,13,17
152986,3.0,3.9101188,37.41181,-121.89359,13,18
113518,3.5,4.0618286,37.35233,-122.00196,14,18
432715,3.0,4.074218,37.41846,-121.95369,12,16
222859,3.0,4.0882697,37.38564,-121.99789,13,17
142137,3.5,4.1236987,37.42196,-121.91931,14,18
202990,3.0,4.1241627,37.42217,-121.92148,13,18
194753,3.5,4.178543,37.31599,-121.97733,14,18
153453,3.0,4.4061923,37.42638,-121.92307,15,20
139261,3.0,4.4074426,37.4264,-121.92309,15,20
183295,3.0,4.538163,37.42745,-121.91463,14,19
115779,3.0,4.671897,37.35213,-122.01318,15,20
327254,3.0,4.862508,37.29258,-121.93494,13,18
148538,3.0,4.8675995,37.35558,-122.01735,15,20
188851,3.5,5.034136,37.29417,-121.95992,15,20
120856,3.5,5.052025,37.28972,-121.93182,14,19
129765,3.0,5.0982084,37.35938,-122.02192,17,23
139242,3.0,5.1511416,37.33333,-122.01531,17,23
123442,3.0,5.1633797,37.40993,-122.0022,15,20
138185,3.0,5.1736007,37.33289,-122.01552,17,23
125996,3.5,5.3165865,37.43393,-121.89226,17,23
